H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, wisc, 54.90, 0.96, 22.19, 0.80, 19.77, 1.22, 39.58, 0.75, 50.53, 0.40, 22.28, 0.44
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, wisc, 53.31, 1.19, 20.93, 1.44, 18.57, 0.54, 38.30, 0.60, 52.57, 1.75, 20.11, 0.99
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, wisc, 52.19, 1.61, 19.12, 3.48, 15.49, 4.83, 37.73, 1.80, 50.54, 3.09, 18.68, 4.43
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, wisc, 53.07, 1.37, 22.07, 1.21, 17.96, 1.89, 38.58, 0.97, 50.79, 1.15, 22.04, 0.44
0.01, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, wisc, 53.15, 0.69, 20.45, 0.98, 17.60, 0.77, 38.95, 0.86, 52.37, 0.56, 20.09, 1.32
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, wisc, 52.19, 0.94, 20.34, 0.80, 17.22, 0.97, 37.66, 0.99, 52.75, 0.36, 19.79, 0.31
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, wisc, 52.19, 0.56, 19.68, 1.53, 16.59, 0.57, 38.06, 0.71, 52.92, 0.44, 19.61, 0.60
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.005, 0.0, wisc, 51.87, 1.27, 17.98, 2.48, 14.49, 4.47, 37.26, 1.56, 50.05, 5.22, 17.32, 4.51
0.01, 0.0, 4, True, True, True, 0.005, 180.0, 0.01, 0.0, wisc, 52.27, 1.22, 20.44, 1.82, 16.79, 1.28, 37.64, 0.85, 52.41, 0.74, 19.54, 0.81
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.001, 0.0, wisc, 50.76, 0.32, 17.24, 1.71, 14.45, 0.71, 36.66, 1.13, 52.66, 0.81, 18.73, 1.57
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.003, 0.0, wisc, 51.55, 0.60, 18.29, 0.71, 15.81, 0.63, 37.19, 0.43, 53.12, 0.57, 18.88, 0.75
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.005, 0.0, wisc, 50.44, 1.20, 18.22, 0.62, 14.81, 0.69, 36.71, 0.23, 53.20, 0.42, 19.23, 0.81
0.01, 0.0, 4, True, True, True, 0.005, 220.0, 0.01, 0.0, wisc, 51.00, 0.36, 17.50, 2.22, 14.88, 1.64, 36.74, 0.81, 52.85, 0.73, 18.50, 1.44
